// Item Group Database
//
// Structure of Database:
// GroupID,ItemID,Rate{,Amount,Random,isAnnounced,Duration,GUID,isBound,isNamed}

// 衣装の箱
IG_CostumeBox,19513,12	// [衣装] ニワトリのクチバシ
IG_CostumeBox,19515,12	// [衣装] 黄色いミニハット
IG_CostumeBox,19517,12	// [衣装] ニワトリのトサカ
IG_CostumeBox,19524,12	// [衣装] 緑の觸角
IG_CostumeBox,19525,12	// [衣装] 頭眼鏡
IG_CostumeBox,19526,12	// [衣装] ヘルム
IG_CostumeBox,19527,12	// [衣装] シャープヘッドギア
IG_CostumeBox,19528,12	// [衣装] アイアンケイン
IG_CostumeBox,19529,12	// [衣装] 天使のヘアバンド
IG_CostumeBox,19533,12	// [衣装] スポア帽
IG_CostumeBox,19535,12	// [衣装] 神仙丹の実
IG_CostumeBox,19537,12	// [衣装] グリフォン帽子
IG_CostumeBox,19538,12	// [衣装] 満月
IG_CostumeBox,19540,12	// [衣装] ウサギの耳当て
IG_CostumeBox,19541,12	// [衣装] 白い花びら
IG_CostumeBox,19542,12	// [衣装] あくまのささやき
IG_CostumeBox,19543,12	// [衣装] オリバーオオカミフード
IG_CostumeBox,19544,12	// [衣装] たれ猫クルー
IG_CostumeBox,19545,12	// [衣装] 学生帽
IG_CostumeBox,19546,12	// [衣装] ヴァルキリーヘルム
IG_CostumeBox,19547,12	// [衣装] 子悪魔帽
IG_CostumeBox,19548,12	// [衣装] ひきがえるの帽子
IG_CostumeBox,19549,12	// [衣装] マジェスティックゴート
IG_CostumeBox,19550,12	// [衣装] ほお紅
IG_CostumeBox,19551,12	// [衣装] 妖精の耳
IG_CostumeBox,19552,12	// [衣装] 花びら
IG_CostumeBox,19553,12	// [衣装] アサシンマスク
IG_CostumeBox,19554,12	// [衣装] 老人の仮面
IG_CostumeBox,19555,12	// [衣装] 三日月の兜
IG_CostumeBox,19556,12	// [衣装] カブキマスク
IG_CostumeBox,19566,12	// [衣装] サムライマスク
IG_CostumeBox,19573,12	// [衣装] ハートウイングヘアバンド
IG_CostumeBox,19574,12	// [衣装] ロードオブデスの兜
IG_CostumeBox,19575,12	// [衣装] 昇天ブラックドラゴン
IG_CostumeBox,19576,12	// [衣装] たれ教皇
IG_CostumeBox,19577,12	// [衣装] 10周年記念ポリン帽
IG_CostumeBox,19578,12	// [衣装] ゴーグル
IG_CostumeBox,19580,12	// [衣装] スフィンクス帽
IG_CostumeBox,19582,12	// [衣装] カウボーイハット
IG_CostumeBox,19583,12	// [衣装] 義賊の眼帯
IG_CostumeBox,19584,12	// [衣装] 海賊の短剣
IG_CostumeBox,19585,12	// [衣装] 羽のベレー
